name,brand,image,url,rating,total_reviews,category
Gokujyun Ultimate Moisturizing Lotion,Hada Labo,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1646882806_bd885c87_e_800x800.png&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/gokujyun-ultimate-moisturizing-lotion-2,4.4,5928,Cleanser / Toner
AHA BHA PHA 30 Days Miracle Toner,Some by Mi,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1549596498_Some_By_Mi_800x800.png&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/some-by-mi/30-days-miracle-toner,3.6,5139,Cleanser / Toner
Air Mawar,Viva Cosmetics,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1630998319_307543_1_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/air-mawar,4.1,5114,Cleanser / Toner
AHA/BHA Clarifying Treatment Toner,Cosrx,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1545204089_Cosrx_AHA__800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/cosrx/aha-bha-clarifying-treatment-toner,4,4503,Cleanser / Toner
Miraculous Refining Toner,AVOSKIN,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1679552716_PDP_TEMPLA_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/avoskin/avoskin-miraculous-refining-toner-1,4.2,4295,Cleanser / Toner
Hatomugi Skin Conditioner,Imju Naturie,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1640252152_product_lo_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/imju-naturie/skin-conditioner-90,4.3,3640,Cleanser / Toner
Face Tonic,Viva Cosmetics,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1630999175_Screenshot_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-green-tea,4.1,3604,Cleanser / Toner
Essence Toner,Pyunkang Yul,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1635319601_25662_larg_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/pyunkang-yul/pyunkang-yul-essence-toner,4.4,3000,Cleanser / Toner
Gokujyun Ultimate Moisturizing Light Lotion,Hada Labo,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1646882606_Light_Loti_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/ultimate-moisturizing-light-lotion,4.3,2571,Cleanser / Toner
Aloe BHA Skin Toner,Benton,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1628486828_benton_534_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/benton/aloe-bha-toner,4,2284,Cleanser / Toner
Daily Beginner Exfoliating Toner,Azarine Cosmetic,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1645090186160.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/azarine-cosmetic/daily-beginner-exfoliating-toner-3,4.2,1965,Cleanser / Toner
Brightening Toner,Whitelab,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1670311230_BRIGHTENIN_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/whitelab/brightening-toner-1,4.7,1936,Cleanser / Toner
Glow Tonic,Pixi,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1520593316_FD_Best_of_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/pixi/glow-tonic,4.2,1885,Cleanser / Toner
Face Tonic,Viva Cosmetics,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1630999256_Screenshot_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-bengkuang,3.9,1789,Cleanser / Toner
White Expert Purifying Cleanser 2 in 1 Cleanser & Toner,Safi,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1597142620_White_Expe_800x800.jpg&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/safi/white-expert-2-in-1-cleanser-and-toner,4,1678,Cleanser / Toner
Tea Tree Skin Clearing Toner,The Body Shop,https://reviews.femaledaily.com/service_review/_next/image?url=https%3A%2F%2Fimage.femaledaily.com%2Fdyn%2F210%2Fimages%2Fprod-pics%2Fproduct_1642753711_image_remo_800x800.png&w=3840&q=80,https://reviews.femaledaily.com/products/cleanser/toner/the-body-shop/tea-tree-toner-22,3.6,1644,Cleanser / Toner
